Leucanthemum_vulgare,Centaurea_jacea,Plantago_lanceolata,Rumex_acetosa,Festuca_rubra,Holcus_lanatus,Agrostis_capillaris,Anthoxanthum_odoratum
0,0,0,0,0,0,0,26.97
0,0,0,0,0,0,0,24.23
0,0,0,0,0,0,0,24.55
0,0,0,0,0,0,0,28.57
0,0,0,0,0,0,0,29.77
0,0,0,0,0,0,0,19.74
0,0,0,0,0,0,0,12.43
0,0,0,0,0,0,62.18,0
0,0,0,0,0,0,46.72,0
0,0,0,0,0,0,53.85,0
0,0,0,0,0,0,55.05,0
0,0,0,0,0,0,50.63,0
0,0,0,0,0,0,35.21,0
0,0,0,0,0,0,14.71,24.12
0,0,0,0,0,48.31,0,0
0,0,0,0,0,23.79,0,0
0,0,0,0,0,26.5,0,0
0,0,0,0,0,30.04,0,0
0,0,0,0,0,46.32,0,0
0,0,0,0,0,35.05,0,0
0,0,0,0,0,2.79,33.36,0
0,0,0,0,30.79,0,0,0
0,0,0,0,18.29,0,0,0
0,0,0,0,39.74,0,0,0
0,0,0,0,57.75,0,0,0
0,0,0,0,28.3,0,0,0
0,0,0,0,39.38,0,0,0
0,0,0,0,4.78,0,0,25.98
0,0,0,0,22.27,0,48.15,0
0,0,0,0,29.23,1.59,0,0
0,0,0,19.41,0,0,0,0
0,0,0,27.09,0,0,0,0
0,0,0,27.27,0,0,0,0
0,0,0,23.63,0,0,0,0
0,0,0,37.12,0,0,0,0
0,0,0,43.46,0,0,0,0
0,0,0,3.72,0,0,0,24.54
0,0,0,20.28,0,18.46,0,0
0,0,0,34.78,21.12,0,0,0
0,0,0,9.22,25.43,17.66,10.76,0
0,0,38.26,0,0,0,0,0
0,0,35.83,0,0,0,0,0
0,0,22.83,0,0,0,0,0
0,0,25.55,0,0,0,0,0
0,0,17.89,0,0,0,0,0
0,0,20.06,0,0,0,0,0
0,0,26.03,0,0,0,0,14.45
0,0,18.49,0,0,0,28.28,0
0,0,27.7,0,0,6.26,0,0
0,0,32.46,0,0,4.1,0,0
0,0,19.01,0,21.42,0,0,0
0,0,32.54,0,11.03,0,0,0
0,0,18.14,0,3.11,0,0,11.22
0,0,18.02,0,3.52,0,0,7.04
0,0,22.07,0,4.49,0,2.68,0
0,0,26.38,0,5.5,0,2.96,5.7
0,0,19.16,1.48,0,0,0,0
0,0,33.31,4.26,0,0,0,9.71
0,0,31.29,53.65,0,29.69,17.27,0
0,0,16.95,23.18,14.06,0,8.09,0
0,73.65,0,0,0,0,0,0
0,93.87,0,0,0,0,0,0
0,40.46,0,0,0,0,0,0
0,35.52,0,0,0,0,0,0
0,54.51,0,0,0,0,0,0
0,84.71,0,0,0,0,0,0
0,47.86,0,0,0,0,0,13.73
0,41.88,0,0,0,0,0,8.2
0,36.71,0,0,0,0,43.76,0
0,69.26,0,0,0,0,3.76,27.96
0,81.4,0,0,0,9.55,0,0
0,19.33,0,0,3.41,0,0,13.85
0,124.69,0,7.96,0,0,0,0
0,80.39,0,13.03,2.18,0,0,12
0,35.65,0,14.18,9.23,10.82,0,0
0,39.15,20.77,0,0,0,0,0
0,17.91,4.39,0,2.45,0,0,0
0,25.45,46.92,0,17.61,0,0,0
0,7.39,18.85,0,4.18,0,0,5.29
0,45.75,24.69,10.27,0,0,0,6.92
0,49.28,13.65,8.76,4.33,0,2.91,12.59
0,11.68,19.6,31.48,3.68,0,2.37,13.04
15.93,0,0,0,0,0,0,0
18.21,0,0,0,0,0,0,0
27.88,0,0,0,0,0,0,0
13.6,0,0,0,0,0,0,0
9.58,0,0,0,0,0,0,0
17.6,0,0,0,0,0,0,0
3.3,0,0,0,0,0,0,27.25
29.33,0,0,0,0,0,25.85,0
15.38,0,0,0,53.33,0,0,0
8.16,0,0,0,5.45,0,8.88,11.49
16.37,0,0,49.63,0,0,0,0
2.11,0,23.69,0,0,0,0,0
1.38,0,30.58,4.56,0,0,5.71,0
23.66,36.86,0,0,0,0,0,0
5.84,41.48,0,0,0,0,0,13.25
8.44,67.39,0,0,0,0,7.08,0
1.55,127.72,0,0,19.38,0,2.86,0
3.86,97.1,0,3.18,0,0,0,5.72
6.14,41.94,0,18.63,0,19.84,0,0
